Unnamed: 0,product_name,link, product_images,price,details,category,subcategory,id,Product_Name,Link,Product_Image,Price,Details
84,,,,,,Woman,SHIRTS,623,SATIN TOP WITH KNOT,https://www.zara.com/in/en/satin-top-with-knot-p02298178.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2298/178/611/2/w/448/2298178611_1_1_1.jpg?ts=1691417175817': 'Image 0 of SATIN TOP WITH KNOT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2298/178/611/2/w/448/2298178611_2_1_1.jpg?ts=1691417175938': 'Image 1 of SATIN TOP WITH KNOT from Zara'}]","₹ 2,990.00",Crop top featuring a V-neckline with a knot and long sleeves. Invisible side zip fastening.
87,,,,,,Woman,SHIRTS,625,TIE-DYE PRINT SHIRT,https://www.zara.com/in/en/tie-dye-print-shirt-p07888425.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7888/425/330/2/w/448/7888425330_1_1_1.jpg?ts=1689149351146': 'Image 0 of TIE-DYE PRINT SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7888/425/330/2/w/448/7888425330_2_1_1.jpg?ts=1689005387383': 'Image 1 of TIE-DYE PRINT SHIRT from Zara'}]","₹ 3,290.00",Collared shirt with long sleeves. Side vents at the hem. Button-up front.
88,,,,,,Woman,SHIRTS,626,STRIPED JACQUARD BLOUSE,https://www.zara.com/in/en/striped-jacquard-blouse-p04437253.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/4437/253/700/2/w/448/4437253700_1_1_1.jpg?ts=1691152492038': 'Image 0 of STRIPED JACQUARD BLOUSE from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4437/253/700/2/w/448/4437253700_2_1_1.jpg?ts=1691152491921': 'Image 1 of STRIPED JACQUARD BLOUSE from Zara'}]","₹ 3,290.00","Blouse made of a viscose blend. Featuring a V-neckline, long voluminous sleeves, matching stripes and front button fastening."
91,,,,,,Woman,SHIRTS,628,PRINTED RAMIE SHIRT,https://www.zara.com/in/en/printed-ramie-shirt-p04786304.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/4786/304/426/2/w/448/4786304426_1_1_1.jpg?ts=1689936422704': 'Image 0 of PRINTED RAMIE SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4786/304/426/2/w/448/4786304426_2_1_1.jpg?ts=1689936426227': 'Image 1 of PRINTED RAMIE SHIRT from Zara'}]","₹ 3,290.00",Shirt made of 100% ramie. Johnny collar and sleeves falling below the elbow with cuffs. Asymmetric hem with side vents. Pleated detail on the back. Front fastening.
92,,,,,,Woman,SHIRTS,629,OVERSIZE FLOWING SHIRT,https://www.zara.com/in/en/oversize-flowing-shirt-p04387238.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/4387/238/250/2/w/448/4387238250_1_1_1.jpg?ts=1691758138213': 'Image 0 of OVERSIZE FLOWING SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4387/238/250/2/w/448/4387238250_2_1_1.jpg?ts=1691758137394': 'Image 1 of OVERSIZE FLOWING SHIRT from Zara'}]","₹ 2,290.00",Collared shirt with long sleeves. Front patch pockets. Asymmetric hem. Button-up front.
96,,,,,,Woman,SHIRTS,630,SEMI-SHEER SHIRT WITH RUFFLES,https://www.zara.com/in/en/semi-sheer-shirt-with-ruffles-p03564172.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/3564/172/800/2/w/448/3564172800_1_1_1.jpg?ts=1687791317841': 'Image 0 of SEMI-SHEER SHIRT WITH RUFFLES from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3564/172/800/2/w/448/3564172800_2_1_1.jpg?ts=1687791316332': 'Image 1 of SEMI-SHEER SHIRT WITH RUFFLES from Zara'}]","₹ 2,590.00",Collared sleeveless shirt. Ruffled detail. Button-up front hidden by a placket.This garment is not lined.
99,,,,,,Woman,SHIRTS,632,ROLL-UP SLEEVE LINEN BLEND SHIRT,https://www.zara.com/in/en/roll-up-sleeve-linen-blend-shirt-p04387056.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/4387/056/250/20/w/448/4387056250_1_1_1.jpg?ts=1686905617014': 'Image 0 of ROLL-UP SLEEVE LINEN BLEND SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4387/056/250/20/w/448/4387056250_2_1_1.jpg?ts=1686905617587': 'Image 1 of ROLL-UP SLEEVE LINEN BLEND SHIRT from Zara'}]","₹ 2,590.00","Shirt made of a linen blend. Featuring a slot collar, long roll-up sleeves with buttoned tabs, front flap pockets, side vents at the hem and a button-up front."
100,,,,,,Woman,SHIRTS,633,DRAPED TOP,https://www.zara.com/in/en/draped-top-p07484158.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7484/158/671/2/w/448/7484158671_1_1_1.jpg?ts=1691417177880': 'Image 0 of DRAPED TOP from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7484/158/671/2/w/448/7484158671_2_1_1.jpg?ts=1691417177740': 'Image 1 of DRAPED TOP from Zara'}]","₹ 2,590.00",Sleeveless top with a cowl neckline. Featuring gathering on the shoulders.
101,,,,,,Woman,SHIRTS,634,STRIPED OVERSIZE LINEN BLEND SHIRT,https://www.zara.com/in/en/striped-oversize-linen-blend-shirt-p07699493.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7699/493/330/2/w/448/7699493330_1_1_1.jpg?ts=1684406394483': 'Image 0 of STRIPED OVERSIZE LINEN BLEND SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7699/493/330/2/w/448/7699493330_2_1_1.jpg?ts=1684406394337': 'Image 1 of STRIPED OVERSIZE LINEN BLEND SHIRT from Zara'}]","₹ 2,990.00",Collared shirt made of a linen blend. Featuring long sleeves and button fastening at the front.
102,,,,,,Woman,SHIRTS,635,PRINTED FLOWING BLOUSE,https://www.zara.com/in/en/printed-flowing-blouse-p07907033.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7907/033/330/17/w/448/7907033330_1_1_1.jpg?ts=1687966675950': 'Image 0 of PRINTED FLOWING BLOUSE from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7907/033/330/17/w/448/7907033330_2_1_1.jpg?ts=1687966675798': 'Image 1 of PRINTED FLOWING BLOUSE from Zara'}]","₹ 4,990.00",Flowing collared blouse made of viscose. Short sleeves. Chest patch pockets. Button-up front.
104,,,,,,Woman,SHIRTS,637,100% LINEN SHIRT,https://www.zara.com/in/en/100-linen-shirt-p08372036.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8372/036/250/20/w/448/8372036250_1_1_1.jpg?ts=1686905893170': 'Image 0 of 100% LINEN SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8372/036/250/20/w/448/8372036250_2_1_1.jpg?ts=1686905889964': 'Image 1 of 100% LINEN SHIRT from Zara'}]","₹ 2,890.00","Collared shirt made of 100% linen. Featuring long sleeves, a front patch pocket and button-up front."
107,,,,,,Woman,SHIRTS,638,CROPPED SHIRT WITH KNOT,https://www.zara.com/in/en/cropped-shirt-with-knot-p08071675.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8071/675/506/2/w/448/8071675506_1_1_1.jpg?ts=1689258558722': 'Image 0 of CROPPED SHIRT WITH KNOT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8071/675/506/2/w/448/8071675506_2_1_1.jpg?ts=1689258558060': 'Image 1 of CROPPED SHIRT WITH KNOT from Zara'}]","₹ 2,290.00",Collared shirt featuring turn-up short sleeves with buttoned tabs. Front patch pockets with flaps. Button and knot front fastening.
110,,,,,,Woman,SHIRTS,640,LINEN SHIRT WITH POCKET,https://www.zara.com/in/en/linen-shirt-with-pocket-p04877242.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/4877/242/251/2/w/448/4877242251_1_1_1.jpg?ts=1687963972079': 'Image 0 of LINEN SHIRT WITH POCKET from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4877/242/251/2/w/448/4877242251_2_1_1.jpg?ts=1687963972507': 'Image 1 of LINEN SHIRT WITH POCKET from Zara'}]","₹ 3,290.00",Linen shirt. Collar and sleeves falling below the elbow. Patch pocket on the chest. Asymmetric hem. Button-up front.
111,,,,,,Woman,SHIRTS,641,LONG BLOUSE WITH KNOT,https://www.zara.com/in/en/long-blouse-with-knot-p05107253.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/5107/253/712/2/w/448/5107253712_1_1_1.jpg?ts=1688980754918': 'Image 0 of LONG BLOUSE WITH KNOT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/5107/253/712/2/w/448/5107253712_2_1_1.jpg?ts=1688980754308': 'Image 1 of LONG BLOUSE WITH KNOT from Zara'}]","₹ 3,290.00",Long blouse made of cotton. Johnny collar and sleeves falling below the elbow. Knot detail on the front. Asymmetric hem.
115,,,,,,Woman,SHIRTS,643,Z1975 DENIM BLOUSE WITH TIE,https://www.zara.com/in/en/z1975-denim-blouse-with-tie-p06164169.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/6164/169/427/2/w/448/6164169427_1_1_1.jpg?ts=1686233835509': 'Image 0 of Z1975 DENIM BLOUSE WITH TIE from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6164/169/427/2/w/448/6164169427_2_1_1.jpg?ts=1686233835427': 'Image 1 of Z1975 DENIM BLOUSE WITH TIE from Zara'}]","₹ 3,290.00",Blouse featuring a high neck with a tie detail and a V-neckline. Short sleeves with metallic button.
116,,,,,,Woman,SHIRTS,644,LONG WRINKLED-EFFECT TOP,https://www.zara.com/in/en/long-wrinkled-effect-top-p07822732.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7822/732/803/2/w/448/7822732803_1_1_1.jpg?ts=1684832404738': 'Image 0 of LONG WRINKLED-EFFECT TOP from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7822/732/803/2/w/448/7822732803_2_1_1.jpg?ts=1684832598290': 'Image 1 of LONG WRINKLED-EFFECT TOP from Zara'}]","₹ 3,290.00",Top with a slot collar and long sleeves. Split hem. Button-up front.
36,,,,,,Woman,BAGS,1298,CONTRAST CROSSBODY BAG,https://www.zara.com/in/en/contrast-crossbody-bag-p16043210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6043/210/202/2/w/448/6043210202_1_1_1.jpg?ts=1690466481156': 'Image 0 of CONTRAST CROSSBODY BAG from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6043/210/202/2/w/448/6043210202_2_1_1.jpg?ts=1690466483483': 'Image 1 of CONTRAST CROSSBODY BAG from Zara'}]","₹ 2,890.00",Crossbody bag in a combination of materials with a flap. Shoulder strap. Magnetic clasp closure.Height x Length x Width: 15 x 29 x 7 cm. / 5.9 x 11.4 x 2.7″View more
37,,,,,,Woman,BAGS,1299,CONTRAST BUCKET BAG,https://www.zara.com/in/en/contrast-bucket-bag-p16044210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6044/210/202/2/w/448/6044210202_1_1_1.jpg?ts=1690466480261': 'Image 0 of CONTRAST BUCKET BAG from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6044/210/202/2/w/448/6044210202_2_1_1.jpg?ts=1690466480879': 'Image 1 of CONTRAST BUCKET BAG from Zara'}]","₹ 2,890.00","Bucket bag in a combination of materials. Adjustable crossbody strap. Magnetic clasp closure.Height x Length x Width 33,5 x 24,6 x 14,8 cm. / 13.1 x 9.6 x 5.8″View more"
38,,,,,,Woman,BAGS,1300,FABRIC SHOULDER BAG,https://www.zara.com/in/en/fabric-shoulder-bag-p16057210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6057/210/716/2/w/448/6057210716_1_1_1.jpg?ts=1688732311243': 'Image 0 of FABRIC SHOULDER BAG from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6057/210/716/2/w/448/6057210716_15_1_1.jpg?ts=1688713861448': 'Image 1 of FABRIC SHOULDER BAG from Zara'}]","₹ 2,890.00",Fabric shoulder bag with frayed detail. Magnetic clasp closure on the flap. Shoulder strap.Height x Length x Width: 12 x 27 x 8 cm. / 4.7 x 10.6 x 3.1″View more
41,,,,,,Woman,BAGS,1301,CROSSBODY BAG WITH PEARLS,https://www.zara.com/in/en/crossbody-bag-with-pearls-p16005210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6005/210/910/2/w/448/6005210910_1_1_1.jpg?ts=1686037448051': 'Image 0 of CROSSBODY BAG WITH PEARLS from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6005/210/910/2/w/448/6005210910_2_1_1.jpg?ts=1686037452336': 'Image 1 of CROSSBODY BAG WITH PEARLS from Zara'}]","₹ 3,990.00",Crossbody bag. Faux pearl beads on the exterior. Lining. Shoulder strap and detachable crossbody strap. Magnetic clasp closure.Height x Length x Width: 16 x 26 x 4 cm. / 6.2 x 10.2 x 1.5″View more
42,,,,,,Woman,BAGS,1302,FAUX PEARL BEAD BUCKET BAG,https://www.zara.com/in/en/faux-pearl-bead-bucket-bag-p16259110.html,"[{'https://static.zara.net/photos///2023/V/1/1/p/6259/110/850/2/w/448/6259110850_1_1_1.jpg?ts=1684228678609': 'Image 0 of FAUX PEARL BEAD BUCKET BAG from Zara'}, {'https://static.zara.net/photos///2023/V/1/1/p/6259/110/850/2/w/448/6259110850_6_1_1.jpg?ts=1678725806934': 'Image 1 of FAUX PEARL BEAD BUCKET BAG from Zara'}]","₹ 3,290.00","Bucket bag with faux pearl beads on the exterior. Shoulder strap. Zip closure.Height x Length x Width 24,5 x 16 x 7 cm. / 9.6 x 6.2 x 2.7″"
43,,,,,,Woman,BAGS,1303,SHINY SHOULDER BAG,https://www.zara.com/in/en/shiny-shoulder-bag-p16363210.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6364/210/808/2/w/448/6364210808_1_1_1.jpg?ts=1685615024655': 'Image 0 of SHINY SHOULDER BAG from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/6364/210/808/2/w/448/6364210808_2_1_1.jpg?ts=1685615026201': 'Image 1 of SHINY SHOULDER BAG from Zara'}]","₹ 3,290.00","Shoulder bag with rhinestones. Lined interior. Shoulder strap. Zip fastening. Height x Length x Width 24 x 26 x 8,5 cm. / 9.4 x 10.2 x 3.3″"
44,,,,,,Woman,BAGS,1304,BEADED BUCKET BAG WITH RHINESTONES,https://www.zara.com/in/en/beaded-bucket-bag-with-rhinestones-p16176110.html,"[{'https://static.zara.net/photos///2023/I/1/1/p/6176/110/909/17/w/448/6176110909_1_1_1.jpg?ts=1687516179809': 'Image 0 of BEADED BUCKET BAG WITH RHINESTONES from Zara'}, {'https://static.zara.net/photos///2023/V/1/1/p/6176/110/909/2/w/448/6176110909_15_1_1.jpg?ts=1677066893104': 'Image 1 of BEADED BUCKET BAG WITH RHINESTONES from Zara'}]","₹ 3,290.00","Bucket bag with rhinestones and fringing. Top handles. Gathered drawstring closure. Height x Length x Width 19,6 x 22,6 x 4,5 cm. / 7.7 x 8.8 x 1.7″"
