Unnamed: 0,product_name,link, product_images,price,details,category,subcategory,id,Product_Name,Link,Product_Image,Price,Details
88,,,,,,Woman,SHIRTS,626,STRIPED JACQUARD BLOUSE,https://www.zara.com/in/en/striped-jacquard-blouse-p04437253.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/4437/253/700/2/w/448/4437253700_1_1_1.jpg?ts=1691152492038': 'Image 0 of STRIPED JACQUARD BLOUSE from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4437/253/700/2/w/448/4437253700_2_1_1.jpg?ts=1691152491921': 'Image 1 of STRIPED JACQUARD BLOUSE from Zara'}]","₹ 3,290.00","Blouse made of a viscose blend. Featuring a V-neckline, long voluminous sleeves, matching stripes and front button fastening."
89,,,,,,Woman,SHIRTS,627,SHIRT WITH CUTWORK EMBROIDERY,https://www.zara.com/in/en/shirt-with-cutwork-embroidery-p07578101.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7578/101/251/12/w/448/7578101251_1_1_1.jpg?ts=1691599681739': 'Image 0 of SHIRT WITH CUTWORK EMBROIDERY from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7578/101/251/12/w/448/7578101251_2_1_1.jpg?ts=1691599682626': 'Image 1 of SHIRT WITH CUTWORK EMBROIDERY from Zara'}]","₹ 3,290.00",Collared shirt with short sleeves. Matching cutwork embroidery detail. Button-up front.
91,,,,,,Woman,SHIRTS,628,PRINTED RAMIE SHIRT,https://www.zara.com/in/en/printed-ramie-shirt-p04786304.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/4786/304/426/2/w/448/4786304426_1_1_1.jpg?ts=1689936422704': 'Image 0 of PRINTED RAMIE SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4786/304/426/2/w/448/4786304426_2_1_1.jpg?ts=1689936426227': 'Image 1 of PRINTED RAMIE SHIRT from Zara'}]","₹ 3,290.00",Shirt made of 100% ramie. Johnny collar and sleeves falling below the elbow with cuffs. Asymmetric hem with side vents. Pleated detail on the back. Front fastening.
92,,,,,,Woman,SHIRTS,629,OVERSIZE FLOWING SHIRT,https://www.zara.com/in/en/oversize-flowing-shirt-p04387238.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/4387/238/250/2/w/448/4387238250_1_1_1.jpg?ts=1691758138213': 'Image 0 of OVERSIZE FLOWING SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4387/238/250/2/w/448/4387238250_2_1_1.jpg?ts=1691758137394': 'Image 1 of OVERSIZE FLOWING SHIRT from Zara'}]","₹ 2,290.00",Collared shirt with long sleeves. Front patch pockets. Asymmetric hem. Button-up front.
96,,,,,,Woman,SHIRTS,630,SEMI-SHEER SHIRT WITH RUFFLES,https://www.zara.com/in/en/semi-sheer-shirt-with-ruffles-p03564172.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/3564/172/800/2/w/448/3564172800_1_1_1.jpg?ts=1687791317841': 'Image 0 of SEMI-SHEER SHIRT WITH RUFFLES from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3564/172/800/2/w/448/3564172800_2_1_1.jpg?ts=1687791316332': 'Image 1 of SEMI-SHEER SHIRT WITH RUFFLES from Zara'}]","₹ 2,590.00",Collared sleeveless shirt. Ruffled detail. Button-up front hidden by a placket.This garment is not lined.
98,,,,,,Woman,SHIRTS,631,OXFORD SHIRT,https://www.zara.com/in/en/oxford-shirt-p08372060.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8372/060/403/20/w/448/8372060403_1_1_1.jpg?ts=1692689707366': 'Image 0 of OXFORD SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8372/060/403/20/w/448/8372060403_2_1_1.jpg?ts=1692689705710': 'Image 1 of OXFORD SHIRT from Zara'}]","₹ 2,590.00",Shirt made of a cotton blend. Johnny collar and long sleeves. Button-up front.
99,,,,,,Woman,SHIRTS,632,ROLL-UP SLEEVE LINEN BLEND SHIRT,https://www.zara.com/in/en/roll-up-sleeve-linen-blend-shirt-p04387056.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/4387/056/250/20/w/448/4387056250_1_1_1.jpg?ts=1686905617014': 'Image 0 of ROLL-UP SLEEVE LINEN BLEND SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4387/056/250/20/w/448/4387056250_2_1_1.jpg?ts=1686905617587': 'Image 1 of ROLL-UP SLEEVE LINEN BLEND SHIRT from Zara'}]","₹ 2,590.00","Shirt made of a linen blend. Featuring a slot collar, long roll-up sleeves with buttoned tabs, front flap pockets, side vents at the hem and a button-up front."
100,,,,,,Woman,SHIRTS,633,DRAPED TOP,https://www.zara.com/in/en/draped-top-p07484158.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7484/158/671/2/w/448/7484158671_1_1_1.jpg?ts=1691417177880': 'Image 0 of DRAPED TOP from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7484/158/671/2/w/448/7484158671_2_1_1.jpg?ts=1691417177740': 'Image 1 of DRAPED TOP from Zara'}]","₹ 2,590.00",Sleeveless top with a cowl neckline. Featuring gathering on the shoulders.
101,,,,,,Woman,SHIRTS,634,STRIPED OVERSIZE LINEN BLEND SHIRT,https://www.zara.com/in/en/striped-oversize-linen-blend-shirt-p07699493.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7699/493/330/2/w/448/7699493330_1_1_1.jpg?ts=1684406394483': 'Image 0 of STRIPED OVERSIZE LINEN BLEND SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7699/493/330/2/w/448/7699493330_2_1_1.jpg?ts=1684406394337': 'Image 1 of STRIPED OVERSIZE LINEN BLEND SHIRT from Zara'}]","₹ 2,990.00",Collared shirt made of a linen blend. Featuring long sleeves and button fastening at the front.
102,,,,,,Woman,SHIRTS,635,PRINTED FLOWING BLOUSE,https://www.zara.com/in/en/printed-flowing-blouse-p07907033.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7907/033/330/17/w/448/7907033330_1_1_1.jpg?ts=1687966675950': 'Image 0 of PRINTED FLOWING BLOUSE from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7907/033/330/17/w/448/7907033330_2_1_1.jpg?ts=1687966675798': 'Image 1 of PRINTED FLOWING BLOUSE from Zara'}]","₹ 4,990.00",Flowing collared blouse made of viscose. Short sleeves. Chest patch pockets. Button-up front.
103,,,,,,Woman,SHIRTS,636,TIE-DYE PRINT CROP TOP,https://www.zara.com/in/en/tie-dye-print-crop-top-p08506170.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8506/170/330/2/w/448/8506170330_1_1_1.jpg?ts=1691758139404': 'Image 0 of TIE-DYE PRINT CROP TOP from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8506/170/330/2/w/448/8506170330_2_1_1.jpg?ts=1691758138399': 'Image 1 of TIE-DYE PRINT CROP TOP from Zara'}]","₹ 2,990.00",Top with a surplice neckline and long sleeves. Gathered hem with pleats. Invisible side zip fastening.
104,,,,,,Woman,SHIRTS,637,100% LINEN SHIRT,https://www.zara.com/in/en/100-linen-shirt-p08372036.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8372/036/250/20/w/448/8372036250_1_1_1.jpg?ts=1686905893170': 'Image 0 of 100% LINEN SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8372/036/250/20/w/448/8372036250_2_1_1.jpg?ts=1686905889964': 'Image 1 of 100% LINEN SHIRT from Zara'}]","₹ 2,890.00","Collared shirt made of 100% linen. Featuring long sleeves, a front patch pocket and button-up front."
107,,,,,,Woman,SHIRTS,638,CROPPED SHIRT WITH KNOT,https://www.zara.com/in/en/cropped-shirt-with-knot-p08071675.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8071/675/506/2/w/448/8071675506_1_1_1.jpg?ts=1689258558722': 'Image 0 of CROPPED SHIRT WITH KNOT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8071/675/506/2/w/448/8071675506_2_1_1.jpg?ts=1689258558060': 'Image 1 of CROPPED SHIRT WITH KNOT from Zara'}]","₹ 2,290.00",Collared shirt featuring turn-up short sleeves with buttoned tabs. Front patch pockets with flaps. Button and knot front fastening.
109,,,,,,Woman,SHIRTS,639,CROPPED SHIRT WITH CUTWORK EMBROIDERY,https://www.zara.com/in/en/cropped-shirt-with-cutwork-embroidery-p07640914.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/7640/914/250/17/w/448/7640914250_1_1_1.jpg?ts=1685104832032': 'Image 0 of CROPPED SHIRT WITH CUTWORK EMBROIDERY from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7640/914/250/17/w/448/7640914250_2_1_1.jpg?ts=1685104830401': 'Image 1 of CROPPED SHIRT WITH CUTWORK EMBROIDERY from Zara'}]","₹ 3,290.00",Collared shirt with long sleeves. Matching cutwork embroidery and lace trim details. Button-up front.
110,,,,,,Woman,SHIRTS,640,LINEN SHIRT WITH POCKET,https://www.zara.com/in/en/linen-shirt-with-pocket-p04877242.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/4877/242/251/2/w/448/4877242251_1_1_1.jpg?ts=1687963972079': 'Image 0 of LINEN SHIRT WITH POCKET from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4877/242/251/2/w/448/4877242251_2_1_1.jpg?ts=1687963972507': 'Image 1 of LINEN SHIRT WITH POCKET from Zara'}]","₹ 3,290.00",Linen shirt. Collar and sleeves falling below the elbow. Patch pocket on the chest. Asymmetric hem. Button-up front.
